username,new_password,hashed_password
john_doe42,v@JUAkjIG1aB,21b378917e4ad0b314bbce6fbaebc83641e118fad1805f322bb63997b898d2e7
sarah.smith,6N!Wqj%E11bF,c56d74c1cbecc7ecebb17640556c1488dc53a7198f964867f3879a5ab68e913a
tech_guru,yys4Mzj#k@Fo,3b6477567356c3816a9634c3c3d0c480d943d48c66a909f6a834a4604b6ddc3b
mountain_hiker,pa%4ItM8pPSv,9ad68704608a83b33439b8576aaf5cd2f93ed6ec05e41b67afc9f6813f2f908d
coding_ninja,pnc81#I@XhA9,7a6600b4db380d0df317bdff346ce62caa7a0159008e293b28fa84b3541335a2
book_lover99,yb&0zPEt6VjD,dd9b317ff77687a34e2116ff387e6fc370d5d759f2ecc01bf6e25da9b5e3442c
fitness_fan,74fA%I7yJGdM,b81820230a38e5cd5db75ed3c46f9a20ecb5bbd73ccd2f0961cb3a6460eec69e
music_master,*0cWY@B4mtLQ,1b5352ff6437fcb57acb57afcdf8d9bd6c3f8df26b8e194e30763e186a8edfc9
pet_enthusiast,N9vFsk0WK@9$,035a596ad45302114f55ba50a49de136e13dab9ec8d3f314ae17962ebc05dad1
travel_addict,H7@2#Ukb@AYp,0c2e6b9ef1058d38dea565a5741f76d24ff4455345ab596e8dec9fca3b631a43
coffee_lover,rEwE@4qO#nOO,2cb0181ef3731341a4baa025fdbce07473b129f22e0828304d49cc7e7a70620e
gaming_pro,kdfCaS%6451k,2c35e43dad79f46bc42cac59f5d551bf43fa47ac8b7e59038586679205b7f159
photo_snapper,*tg2d4eA3%NV,ca8f77ed9a3631c22bbce7acb6dad80a2e821d63c07f855111e958f7ed777b17
food_explorer,@fNbZ%s3yXh3,0cf437612c3b5fca88c56e73a6e5a4aaea139f92e1c6b3ccaf371b28f3f05593
movie_buff,wh2O7TNJ$**b,09c5bd032c08af4195bceaa7ed4dc54d6915839678044189fd088fba50be4b02
nature_walker,N$KLUp7Fl$iW,04a93b5519e6ddba924380edf27cf3552513101c433807dfe114490868fb24ea
puzzle_solver,@kuGhPJpHRH2,9f2a777a3e9bf617997544aaed57f8478a9fe11ce2c4d541f6f02421d2f8bc22
science_geek,BgXKk8#jShgr,7a0af5336c833a83c471405d160ad976f98377e1af83456525111011cd661793
art_creator,tTlW1HX0*i6l,f88e9c68a7039ea0183d4dc3aa963ff87fb7b5b14c70fe877ea18128f2d39f83
history_buff,*1snbufFvA9s,474af8d80f55925036ff97487952e59dc4faebf11ad068abf934b974c9361f36
space_explorer,K4Y1nzdWz&HP,f2ad1ac40f98535aa63a008d9ae8dbd571472e0d76fdb7f7ea9fd4af8973318a
ocean_diver,OLk*dIt7VAKo,aa6828b8971a9c01ed8721eaf748a58c1e3f462c12dadbb4e9886908ee9ce2fa
urban_designer,r$X4lUJkz3AZ,f618df014d8f9e3b8f2c6b9a39bff09b27581ad7a53699ba8f760657849bfa84
yoga_master,9EYd7y2tTiE%,f2eda6c076a18f6292098478903e3601b14cb567b38854cde4b040c23845d79b
chess_player,i%hKJHAK4pdE,2c9addff149ac10354ca30eac8f9cdea0d279d75f69235bcd4ba659759b5b763
